2 4 29 // magic number - today's date
#
#   VizieR Astronomical Server: vizier.cfa.harvard.edu  2011-03-20T22:24:22
#Title: Transition probabilities in the HD molecule (Abgrall+, 2006)
#
#n1	v1	J1	n0	v0	J0	A	Etr	o-c
6	1	7	0	6	7	2.583E+007	95127.84	          
6	1	7	0	7	7	4.153E+006	92632.99	          
6	1	7	0	8	7	2.408E+005	90314.33	          
6	1	7	0	9	7	1.369E+003	88178.16	          
6	1	7	0	10	7	9.910E+001	86232.53	          
6	1	7	0	11	7	5.060E-002	84489.29	          
6	1	7	0	12	7	1.789E-002	82964.59	          
6	1	7	0	13	7	2.107E-003	81679.08	          
6	1	7	0	14	7	1.535E-001	80663.09	          
6	1	7	0	15	7	1.436E+000	79957.68	          
6	1	8	0	0	8	5.321E+007	113351.14	-11.4
6	1	8	0	1	8	6.921E+007	109854.15	          
6	1	8	0	2	8	7.047E+006	106532.20	          
6	1	8	0	3	8	2.653E+007	103382.49	          
6	1	8	0	4	8	8.795E+007	100402.28	          
6	1	8	0	5	8	7.240E+007	97593.10	          
6	1	8	0	6	8	2.562E+007	94953.69	          
6	1	8	0	7	8	4.043E+006	92487.33	          
6	1	8	0	8	8	2.230E+005	90198.83	          
6	1	8	0	9	8	9.221E+002	88093.58	          
6	1	8	0	10	8	1.114E+002	86181.04	          
6	1	8	0	11	8	4.553E-001	84473.36	          
6	1	8	0	12	8	1.066E-002	82987.26	          
6	1	8	0	13	8	2.833E-002	81746.30	          
6	1	8	0	14	8	1.307E-001	80781.86	          
6	1	8	0	15	8	1.720E+000	80142.25	          
6	1	9	0	0	9	5.276E+007	112969.23	          
6	1	9	0	1	9	6.904E+007	109504.93	          
6	1	9	0	2	9	7.115E+006	106214.86	          
6	1	9	0	3	9	2.641E+007	103096.48	          
6	1	9	0	4	9	8.796E+007	100148.29	          
6	1	9	0	5	9	7.232E+007	97370.03	          
6	1	9	0	6	9	2.538E+007	94762.80	          
6	1	9	0	7	9	3.918E+006	92329.27	          
6	1	9	0	8	9	2.037E+005	90073.97	          
6	1	9	0	9	9	5.288E+002	88003.72	          
6	1	9	0	10	9	1.272E+002	86128.16	          
6	1	9	0	11	9	2.163E+000	84460.54	          
6	1	9	0	12	9	6.542E-003	83018.98	          
6	1	9	0	13	9	1.970E-001	81828.37	          
6	1	9	0	14	9	4.480E-001	80924.19	          
6	1	10	0	0	10	5.229E+007	112553.99	          
6	1	10	0	1	10	6.880E+007	109125.49	          
6	1	10	0	2	10	7.207E+006	105870.61	          
6	1	10	0	3	10	2.629E+007	102786.99	          
6	1	10	0	4	10	8.801E+007	99873.37	          
6	1	10	0	5	10	7.220E+007	97129.76	          
6	1	10	0	6	10	2.512E+007	94557.55	          
6	1	10	0	7	10	3.786E+006	92159.78	          
6	1	10	0	8	10	1.810E+005	89941.43	          
6	1	10	0	9	10	2.323E+002	87909.90	          
6	1	10	0	10	10	9.594E+001	86075.58	          
6	1	10	0	11	10	1.650E-002	84452.79	          
6	1	10	0	12	10	3.408E-001	83061.14	          
6	1	10	0	13	10	6.854E-001	81928.02	          
6	1	10	0	14	10	2.793E+000	81093.79	          
6	2	1	0	0	1	6.724E+007	116760.81	-2.61
6	2	1	0	1	1	2.125E+007	113132.50	          
6	2	1	0	2	1	1.336E+007	109681.77	          
6	2	1	0	3	1	4.953E+007	106404.61	          
6	2	1	0	4	1	2.257E+006	103299.06	          
6	2	1	0	5	1	4.162E+007	100363.56	          
6	2	1	0	6	1	8.654E+007	97598.03	          
6	2	1	0	7	1	5.059E+007	95003.60	          
6	2	1	0	8	1	1.236E+007	92583.07	          
6	2	1	0	9	1	6.951E+005	90341.02	          
6	2	1	0	10	1	3.320E+001	88284.28	          
6	2	1	0	11	1	1.318E+004	86422.11	          
6	2	1	0	12	1	8.103E+003	84767.62	          
6	2	1	0	13	1	6.211E+002	83337.44	          
6	2	1	0	14	1	1.657E+004	82155.43	          
6	2	1	0	15	1	4.176E+003	81250.67	          
6	2	1	0	16	1	2.896E+005	80663.89	          
6	2	1	0	17	1	7.535E+003	80443.94	          
6	2	2	0	0	2	6.603E+007	116663.67	-2.37
6	2	2	0	1	2	2.258E+007	113043.09	          
6	2	2	0	2	2	1.445E+007	109599.73	          
6	2	2	0	3	2	4.855E+007	106330.11	          
6	2	2	0	4	2	2.075E+006	103231.87	          
6	2	2	0	5	2	4.001E+007	100303.64	          
6	2	2	0	6	2	8.805E+007	97545.52	          
6	2	2	0	7	2	5.134E+007	94958.56	          
6	2	2	0	8	2	1.138E+007	92545.67	          
6	2	2	0	9	2	8.039E+005	90311.51	          
6	2	2	0	10	2	3.863E+003	88263.00	          
6	2	2	0	11	2	4.303E+002	86409.70	          
6	2	2	0	12	2	6.346E-001	84764.73	          
6	2	2	0	13	2	2.550E-002	83345.33	          
6	2	2	0	14	2	6.978E+000	82174.87	          
6	2	2	0	15	2	3.767E+000	81284.13	          
6	2	2	0	16	2	1.600E+002	80714.68	          
6	2	3	0	0	3	6.585E+007	116518.97	-2.11
6	2	3	0	1	3	2.263E+007	112909.87	          
6	2	3	0	2	3	1.440E+007	109477.82	          
6	2	3	0	3	3	4.848E+007	106219.26	          
6	2	3	0	4	3	2.066E+006	103132.06	          
6	2	3	0	5	3	4.007E+007	100214.80	          
6	2	3	0	6	3	8.814E+007	97467.70	          
6	2	3	0	7	3	5.122E+007	94891.88	          
6	2	3	0	8	3	1.125E+007	92490.44	          
6	2	3	0	9	3	7.799E+005	90268.07	          
6	2	3	0	10	3	3.299E+003	88231.90	          
6	2	3	0	11	3	5.327E+002	86391.81	          
6	2	3	0	12	3	7.898E-001	84761.11	          
6	2	3	0	13	3	2.193E-001	83357.61	          
6	2	3	0	14	3	5.711E-001	82205.25	          
6	2	3	0	15	3	1.127E+000	81335.55	          
6	2	3	0	16	3	2.411E+001	80792.53	          
6	2	4	0	0	4	6.564E+007	116327.54	-2.34
6	2	4	0	1	4	2.268E+007	112733.80	          
6	2	4	0	2	4	1.431E+007	109316.63	          
6	2	4	0	3	4	4.841E+007	106072.81	          
6	2	4	0	4	4	2.057E+006	103000.14	          
6	2	4	0	5	4	4.018E+007	100097.46	          
6	2	4	0	6	4	8.824E+007	97364.98	          
6	2	4	0	7	4	5.104E+007	94803.99	          
6	2	4	0	8	4	1.108E+007	92417.66	          
6	2	4	0	9	4	7.464E+005	90211.06	          
6	2	4	0	10	4	2.532E+003	88191.42	          
6	2	4	0	11	4	5.794E+002	86368.92	          
6	2	4	0	12	4	3.230E+000	84757.28	          
6	2	4	0	13	4	2.348E-001	83374.92	          
6	2	4	0	14	4	2.529E-002	82246.80	          
6	2	4	0	15	4	7.185E-001	81405.77	          
6	2	4	0	16	4	6.614E+000	80899.06	          
6	2	5	0	0	5	6.537E+007	116091.03	-1.79
6	2	5	0	1	5	2.273E+007	112516.08	          
6	2	5	0	2	5	1.419E+007	109117.69	          
6	2	5	0	3	5	4.832E+007	105892.21	          
6	2	5	0	4	5	2.046E+006	102837.64	          
6	2	5	0	5	5	4.032E+007	99953.04	          
6	2	5	0	6	5	8.836E+007	97238.72	          
6	2	5	0	7	5	5.082E+007	94696.17	          
6	2	5	0	8	5	1.088E+007	92328.76	          
6	2	5	0	9	5	7.050E+005	90141.77	          
6	2	5	0	10	5	1.705E+003	88142.71	          
6	2	5	0	11	5	6.072E+002	86342.11	          
6	2	5	0	12	5	6.799E+000	84754.53	          
6	2	5	0	13	5	1.337E-001	83398.85	          
6	2	5	0	14	5	6.182E-003	82301.09	          
6	2	5	0	15	5	7.209E-001	81496.68	          
6	2	5	0	16	5	2.839E+000	81037.67	          
6	2	6	0	0	6	6.506E+007	115810.52	2.14
6	2	6	0	1	6	2.280E+007	112258.70	          
6	2	6	0	2	6	1.405E+007	108882.15	          
6	2	6	0	3	6	4.822E+007	105678.45	          
6	2	6	0	4	6	2.035E+006	102645.43	          
6	2	6	0	5	6	4.049E+007	99782.49	          
6	2	6	0	6	6	8.851E+007	97089.74	          
6	2	6	0	7	6	5.055E+007	94569.35	          
6	2	6	0	8	6	1.063E+007	92224.46	          
6	2	6	0	9	6	6.564E+005	90060.86	          
6	2	6	0	10	6	9.354E+002	88086.43	          
6	2	6	0	11	6	6.256E+002	86312.39	          
6	2	6	0	12	6	1.235E+001	84753.59	          
6	2	6	0	13	6	2.348E-002	83430.38	          
6	2	6	0	14	6	4.449E-002	82369.62	          
6	2	6	0	15	6	9.395E-001	81610.37	          
6	2	7	0	0	7	6.469E+007	115489.16	-3.44
6	2	7	0	1	7	2.288E+007	111963.02	          
6	2	7	0	2	7	1.389E+007	108612.01	          
6	2	7	0	3	7	4.810E+007	105433.56	          
6	2	7	0	4	7	2.022E+006	102425.57	          
6	2	7	0	5	7	4.069E+007	99587.46	          
6	2	7	0	6	7	8.869E+007	96919.85	          
6	2	7	0	7	7	5.024E+007	94425.00	          
6	2	7	0	8	7	1.034E+007	92106.34	          
6	2	7	0	9	7	6.016E+005	89970.17	          
