2 4 29 // magic number - today's date
# HD X rovibrational transition probabilities (25 June 2002, PCS)
# P. C. Stancil (2002, unpublished)
#
# NB - these are preliminary and may not be consistent with energy_X.dat!!!
#
# See P. C. Stancil & A. Dalgarno, ApJ 490, 76 (1997) for
#     details on the potential. Quadrupole moment from
#     L. Wolniewicz, I. Simbotin, & A. Dalgarno, ApJS 115, 293 (1998)
# for  X-X transition
#
#n1	v1	J1	n0	v0	J0	A
0	2	14	0	0	15	2.6614E-07
0	2	14	0	0	16	1.4578E-10
0	2	14	0	1	12	4.8384E-08
0	2	14	0	1	13	1.4159E-04
0	2	14	0	1	14	1.1364E-07
0	2	14	0	1	15	4.8171E-07
0	2	14	0	1	16	2.7730E-09
0	2	14	0	2	12	2.8399E-07
0	2	14	0	2	13	6.9552E-05
0	2	15	0	0	13	1.0433E-07
0	2	15	0	0	14	4.1465E-05
0	2	15	0	0	15	3.8956E-08
0	2	15	0	0	16	1.4249E-07
0	2	15	0	0	17	6.1354E-11
0	2	15	0	1	13	2.2059E-08
0	2	15	0	1	14	1.4452E-04
0	2	15	0	1	15	1.0558E-07
0	2	15	0	1	16	6.4570E-07
0	2	15	0	1	17	1.5830E-09
0	2	15	0	2	13	3.6552E-07
0	2	15	0	2	14	7.7576E-05
0	2	16	0	0	14	9.2552E-08
0	2	16	0	0	15	4.0161E-05
0	2	16	0	0	16	3.8142E-08
0	2	16	0	0	17	6.1807E-08
0	2	16	0	0	18	2.0743E-11
0	2	16	0	1	14	5.2940E-09
0	2	16	0	1	15	1.4636E-04
0	2	16	0	1	16	9.7503E-08
0	2	16	0	1	17	7.8521E-07
0	2	16	0	1	18	8.5630E-10
0	2	16	0	2	14	4.5669E-07
0	2	16	0	2	15	8.5008E-05
0	2	17	0	0	15	7.9920E-08
0	2	17	0	0	16	3.8511E-05
0	2	17	0	0	17	3.7255E-08
0	2	17	0	0	18	1.6491E-08
0	2	17	0	0	19	4.4164E-12
0	2	17	0	1	15	4.1231E-11
0	2	17	0	1	16	1.4716E-04
0	2	17	0	1	17	8.9468E-08
0	2	17	0	1	18	8.9366E-07
0	2	17	0	1	19	4.3379E-10
0	2	17	0	2	15	5.5577E-07
0	2	17	0	2	16	9.1696E-05
0	2	18	0	0	16	6.6937E-08
0	2	18	0	0	17	3.6583E-05
0	2	18	0	0	18	3.6296E-08
0	2	18	0	0	19	2.8222E-10
0	2	18	0	0	20	1.2098E-13
0	2	18	0	1	16	7.7674E-09
0	2	18	0	1	17	1.4695E-04
0	2	18	0	1	18	8.1540E-08
0	2	18	0	1	19	9.6923E-07
0	2	18	0	1	20	2.0236E-10
0	2	18	0	2	16	6.6057E-07
0	2	18	0	2	17	9.7520E-05
0	2	19	0	0	17	5.4090E-08
0	2	19	0	0	18	3.4459E-05
0	2	19	0	0	19	3.5265E-08
0	2	19	0	0	20	7.3347E-09
0	2	19	0	0	21	6.7518E-13
0	2	19	0	1	17	2.9419E-08
0	2	19	0	1	18	1.4579E-04
