2002 10 22 date incorporated - used by code to verify proper file is used
#
# This data, together with the fits generated by Nick Abel,
# constitute the UTA inner shell treatment in the code.
# This data file is based on files provided by Ehud Behar,
# and was originally published in
# >>refer	Fe	inner shell	Behar, E., Sako, M, Kahn, S.M., 
# >>refercon	2001, ApJ, 563, 497-504
# the fits were based on the paper
# >>refer	Fe	inner shell	Behar, E., & Netzer, H., 2002, ApJ, 570, 165-170
#
# all lines starting with # are comments and are ignored
# data are tab delimited
# these are all Fe lines - ion is stage of ionization, 0 is atom
#
# for atomic iron the statistical weights are given, since they were included
# in the original data file from Ehud.  These are zero in all other stages of
# ionization since they were not provided
#
# the last number is the absorption oscillator strength
#
#ion	g(u)	g(l)	wl	A	A/(A+A^a)	f
1	0	0	17.1228	2.5790E+10	8.0663E-05	1.1340E-03
1	0	0	17.3922	3.0590E+10	7.1134E-05	1.1100E-03
1	0	0	17.1006	2.9890E+10	8.2837E-05	1.0480E-03
1	0	0	17.0793	2.3080E+10	6.1461E-05	1.0090E-03
1	0	0	17.4326	2.6180E+10	7.1272E-05	9.5400E-04
1	0	0	17.3878	1.9920E+10	4.6868E-05	9.0300E-04
1	0	0	17.2945	2.4320E+10	5.3495E-05	8.7280E-04
1	0	0	17.0770	2.4660E+10	6.1051E-05	8.6250E-04
1	0	0	17.0950	1.9360E+10	4.5540E-05	8.4830E-04
1	0	0	17.3497	2.1090E+10	5.2670E-05	7.6150E-04
1	0	0	17.3452	1.3360E+10	4.3012E-05	6.0260E-04
1	0	0	17.0963	1.1670E+10	2.7627E-05	5.1130E-04
1	0	0	17.4151	1.3650E+10	3.7284E-05	4.9680E-04
1	0	0	17.0801	1.3180E+10	3.3907E-05	4.6080E-04
1	0	0	17.3819	9.5370E+09	2.1843E-05	4.3200E-04
1	0	0	17.4486	8.4360E+09	1.8726E-05	3.8510E-04
1	0	0	17.1019	7.1260E+09	2.0395E-05	3.7490E-04
1	0	0	17.4898	7.9490E+09	2.3379E-05	3.6450E-04
1	0	0	17.3542	6.7160E+09	2.1826E-05	3.6390E-04
1	0	0	17.3930	5.6310E+09	1.6455E-05	3.0650E-04
1	0	0	17.3899	8.4110E+09	1.9674E-05	3.0510E-04
1	0	0	17.0342	6.9970E+09	1.7968E-05	3.0440E-04
1	0	0	17.3697	7.7960E+09	1.8413E-05	2.8210E-04
1	0	0	17.4345	7.5180E+09	1.7020E-05	2.7410E-04
1	0	0	17.0496	7.8150E+09	2.2157E-05	2.7250E-04
1	0	0	17.4572	4.6430E+09	1.8527E-05	2.5460E-04
