!MOLECULE
CH3OH                                                                   
!MOLECULAR WEIGHT
32
! NUMBER OF ENERGY LEVELS
312
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J_k_v
   59    67    66  1.567E-07          45.84357400   144.27
   60   141   139  3.525E-07          48.24756800   294.99
   61     4     3  3.551E-07          48.37689200     7.55
   62   157   155  3.881E-07          51.50928000   318.30
   63    20    19  1.452E-11          51.57614900    40.04
   64    93    90  2.235E-07          51.75950800   195.50
   65   111   110  2.273E-07          55.67389000   235.84
   66   277   273  2.823E-11          56.66073500   456.82
   67    60    57  3.247E-07          57.29296000   125.25
   68    24    22  1.203E-10          57.43769500    49.17
   69   118   117  4.243E-09          58.72539800   251.06
   70     4     2  1.269E-06          60.53148900     7.55
   71   225   220  3.225E-07          60.69088000   406.56
   72   170   167  1.139E-08          63.12042900   333.27
   73    39    37  5.281E-11          63.58963200    81.20
   74    50    46  4.666E-11          66.99421800   104.81
   75   199   196  5.557E-07          67.54298200   373.62
   76     7     6  5.654E-07          68.30564000    15.47
   77   305   299  4.391E-07          68.55470000   486.35
   78    14    12  5.452E-14          68.95811600    28.27
   79   253   249  4.924E-07          69.05501000   434.93
   80   186   182  1.150E-08          70.13941600   358.89
   81   267   262  1.818E-11          71.09255100   445.45
   82    34    32  8.423E-11          71.26040600    70.18
   83    67    65  1.650E-09          71.72181300   144.27
   84    16    15  2.564E-11          72.78096100    31.93
   85   105   104  2.685E-09          73.16636900   224.39
   86   202   200  6.173E-12          73.54411900   379.55
   87   163   160  5.880E-07          75.51535000   327.25
   88   266   260  7.363E-08          75.54329000   444.24
   89    32    31  3.956E-11          76.16724500    66.76
   90    25    24  1.870E-11          76.16769000    52.83
   91    12    11  7.201E-14          76.16807400    24.96
   92    21    19  4.572E-12          76.16817500    41.22
   93    16    14  7.348E-13          76.16827600    31.93
   94    40    38  1.372E-10          76.16846400    83.01
   95    46    45  2.724E-10          76.17531800   101.59
   96    57    55  5.420E-10          76.19583600   122.50
   97    69    66  1.007E-09          76.24446200   145.73
   98    81    80  1.734E-09          76.34500300   171.29
   99    20    18  8.976E-07          76.50966800    40.04
  100    94    93  2.859E-09          76.53400400   199.18
  101   107   106  4.502E-09          76.86413600   229.40
  102   124   122  6.850E-09          77.40694800   261.95
  103   142   140  1.008E-08          78.25401100   296.83
  104    81    79  1.084E-09          79.27096700   171.29
  105   171   167  1.447E-08          79.51629000   334.06
  106    18    17  6.789E-11          80.66933400    36.36
  107   199   195  2.037E-08          81.31842400   373.62
  108   302   297  1.010E-06          81.65308000   484.80
  109   235   231  2.828E-08          83.79256100   415.52
  110   126   124  1.116E-06          84.42377600   266.00
  111    17    15  1.970E-06          84.52116900    32.49
  112   275   270  7.661E-08          84.57402400   455.59
  113    32    29  1.126E-06          85.56808400    66.76
  114    47    45  2.855E-09          86.11152000   102.07
  115   281   275  3.888E-08          87.06674800   459.77
  116   238   234  1.018E-11          87.95499800   419.37
  117    76    74  7.650E-07          89.50580800   163.56
  118    18    16  5.103E-10          92.40957900    36.36
  119   141   136  4.194E-06          93.19667300   294.99
  120    59    55  1.294E-06          94.54176500   123.38
  121   136   135  2.534E-06          96.49215200   290.52
  122   148   141  3.384E-06          96.49354000   299.62
  123   232   226  2.533E-06          96.50170500   412.42
  124     2     1  2.557E-06          96.73936200     4.64
  125     6     4  3.408E-06          96.74455000    12.19
  126     9     7  2.624E-06          96.75551100    20.11
  127    27    24  1.770E-10          99.61089100    53.95
  128   169   164  2.789E-06          99.73092000   332.19
  129   106   104  1.688E-06         100.63890000   225.71
  130    16    13  1.375E-09         101.09699200    31.93
  131    21    18  4.009E-09         101.10165400    41.22
  132    12     9  2.406E-10         101.10247200    24.96
  133    25    23  9.630E-09         101.12680000    52.83
  134    32    28  1.985E-08         101.18532000    66.76
  135    40    37  3.734E-08         101.29334000    83.01
  136    46    44  6.524E-08         101.46970000   101.59
  137    57    54  1.082E-07         101.73717300   122.50
  138    69    65  1.721E-07         102.12266700   145.73
  139    81    78  2.653E-07         102.65804600   171.29
  140   104   101  1.813E-08         103.32525500   220.88
  141    94    92  3.985E-07         103.38114600   199.18
  142   126   123  1.590E-06         104.06065700   266.00
  143    70    69  1.960E-06         104.30041400   150.74
  144   107   105  5.858E-07         104.33656200   229.40
  145   293   289  2.367E-10         104.84611500   475.34
  146   124   121  8.463E-07         105.57629000   261.95
  147    19    17  3.046E-10         105.60281300    37.56
  148   142   138  1.204E-06         107.15982000   296.83
  149     3     1  1.470E-05         108.89396300     5.23
  150   198   191  1.777E-06         109.13871000   371.78
  151   171   166  1.689E-06         109.15310700   334.06
  152   219   212  5.164E-08         111.25425600   400.32
  153    47    44  4.236E-10         111.40592200   102.07
  154   199   193  2.340E-06         111.62644900   373.62
  155   145   140  4.091E-08         112.49095300   298.48
  156   235   228  3.204E-06         114.65086100   415.52
  157    41    40  1.382E-10         115.56453000    88.56
  158   312   307  1.211E-07         115.80016600   495.58
  159   269   264  2.045E-06         116.79889000   449.26
  160   294   290  2.501E-06         117.14970000   476.65
  161    19    16  4.179E-12         117.34305800    37.56
  162   281   272  4.338E-06         118.29349200   459.77
  163    42    40  5.738E-10         118.78516200    88.71
  164   235   227  3.062E-06         119.27131100   415.52
  165   291   287  1.580E-10         119.27182000   473.21
  166    59    54  6.047E-09         120.08318000   123.38
  167    13    11  9.125E-07         120.19752000    27.08
  168    12     8  4.131E-11         121.06989900    24.96
  169   121   118  1.378E-08         121.36309000   256.88
  170    11     7  1.187E-05         121.68997500    21.31
  171   189   184  1.294E-11         121.78045800   363.35
  172    67    64  1.137E-15         122.87692900   144.27
  173   143   137  2.413E-06         123.78242000   297.10
  174   251   246  2.391E-07         123.82020200   432.67
  175    27    23  4.152E-06         124.56997000    53.95
  176    94    90  9.339E-09         128.29351300   199.18
  177    13    10  1.069E-10         128.93001000    27.08
  178   263   255  4.098E-06         131.13405200   443.06
  179    22    20  7.748E-06         132.89069200    46.41
  180   307   300  3.630E-06         133.42776600   490.02
  181    60    55  1.912E-08         133.48878000   125.25
  182    25    22  4.011E-06         133.60550000    52.83
  183   111   107  4.381E-06         134.23112000   235.84
  184   232   224  1.176E-11         136.17844600   412.42
  185   265   256  4.447E-06         136.91514000   444.04
  186    68    64  2.372E-06         137.90306000   144.99
  187   219   210  5.384E-06         140.15108000   400.32
  188    23    21  5.314E-09         140.77738400    47.97
  189   139   135  2.931E-05         141.44128000   292.68
  190   186   181  6.438E-06         143.10827000   358.89
  191    50    45  4.130E-06         143.16950000   104.81
  192   197   190  6.811E-06         144.72877500   370.60
  193   224   218  6.808E-06         144.73332000   405.89
  194   144   136  1.086E-05         144.73452000   297.47
  195   149   148  1.223E-05         144.73630000   306.57
  196   238   232  1.086E-05         144.75020000   419.37
  197     8     6  1.232E-05         145.09370700    19.15
  198     5     2  1.096E-05         145.09737000    11.61
  199    14    11  6.765E-06         145.12619000    28.27
  200    16    12  6.854E-06         145.12639200    31.93
  201    13     9  1.124E-05         145.13185500    27.08
  202   159   154  7.600E-06         145.76614000   319.72
