#radius	depth	vel [cm/s]	Tot accel [cm s-2]	Lin accel [cm s-2]	Con accel [cm s-2]	force multiplier	a_gravity
6.93240e+11	1.05462e+04	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	1.16009e+04	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	1.27610e+04	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	1.40370e+04	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	1.54407e+04	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	1.69848e+04	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	1.86833e+04	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	2.05516e+04	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	2.26068e+04	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	2.48675e+04	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	2.73542e+04	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	3.00897e+04	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	3.30986e+04	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	3.64085e+04	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	4.00493e+04	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	4.40543e+04	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	4.84597e+04	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
