# r_s/rearth = 4.08333
#  All in CGS except for r (in rearth); for numpy use `a = genfromtxt( <file_name>, skip_header = 2, names = True )`
#  r_rearth rho T v n_H n_H+ n_H2 n_He n_He+ n_He_e
4.083331893220629283e+00 2.099775474128897190e+08 1.175483692339856498e+04 8.696924932786955032e+05 3.497070413785618544e+07 6.722093430639613420e+06 8.420447345892065338e-02 1.520692192717159353e+07 2.633621954417795688e+07 1.236811813902525898e+02
4.284737651304267203e+00 1.764657844837827682e+08 1.173571439831869066e+04 9.123960623137499206e+05 2.907101453402278200e+07 5.967859626929422840e+06 8.588728242264494217e-02 1.198761992693408206e+07 2.292548262162057310e+07 1.059290020749503753e+02
4.496077522129658277e+00 1.492465554373645186e+08 1.169641103286749785e+04 9.541681024549056310e+05 2.432057261630149186e+07 5.313772433178386651e+06 8.344228578458383339e-02 9.510097818517265841e+06 2.001787749637422338e+07 9.097683714540151811e+01
4.717841494646990874e+00 1.267566272460968345e+08 1.164297040525019474e+04 9.953636744945954997e+05 2.042915611081502959e+07 4.739673957509176806e+06 7.720767775514666975e-02 7.570064744489388540e+06 1.750842566499138623e+07 7.814085413272633218e+01
4.950543725960932839e+00 1.082460479550986290e+08 1.157746203935394624e+04 1.035888751967573306e+06 1.725409215417639911e+07 4.239336732795938849e+06 6.742379997191905172e-02 6.057780314683865756e+06 1.535850080519712344e+07 6.744518477631375220e+01
5.194723733397689891e+00 9.295951953813089430e+07 1.151399917788097810e+04 1.076175553958396195e+06 1.465275004996777885e+07 3.805426096240906976e+06 5.728522690549244650e-02 4.871254393891471438e+06 1.352066848437977955e+07 5.818051010301429926e+01
5.450947645369446981e+00 8.008252585445526242e+07 1.144329342073003863e+04 1.117439202108715195e+06 1.247999709954115376e+07 3.421349600987756159e+06 4.857594594182387815e-02 3.924445637008665130e+06 1.191982517834318802e+07 5.009558136637472359e+01
5.719809513936283452e+00 6.916309070861710608e+07 1.136086291940268893e+04 1.158639006527047139e+06 1.065416651159211807e+07 3.079033076217911206e+06 4.125524726428572708e-02 3.166006857300650328e+06 1.051789921797342785e+07 4.327172588770114459e+01
6.001932692108735701e+00 5.998220880093546212e+07 1.127554990724512754e+04 1.198188510664062575e+06 9.132547347910547629e+06 2.777704447835153434e+06 3.480627924845204613e-02 2.563205597311562393e+06 9.304296131749451160e+06 3.731130904283605787e+01
6.297971279084261909e+00 5.217852404769685864e+07 1.119134215265000967e+04 1.237551629385230830e+06 7.850303789080230519e+06 2.510451209303093143e+06 2.902745593605007834e-02 2.078640838855898473e+06 8.244925919369549491e+06 3.214060042580037901e+01
6.608611636768361386e+00 4.546838616854725778e+07 1.109593996586104367e+04 1.277775863662174437e+06 6.758407174808843993e+06 2.269981340462146327e+06 2.398387983085749353e-02 1.686588681456029415e+06 7.309393906264648773e+06 2.768971757758933450e+01
6.934573981096410655e+00 3.973206419271175563e+07 1.100212287243188075e+04 1.317216626697940985e+06 5.833119764917990193e+06 2.056260488936843816e+06 1.999126316608710111e-02 1.370152662880354561e+06 6.490910320155765861e+06 2.378991178673647156e+01
7.276614051845645470e+00 3.479979176113736629e+07 1.090760733177012844e+04 1.356369136172435014e+06 5.044685394659969956e+06 1.865336596258951351e+06 1.708286160788177049e-02 1.113719622395992279e+06 5.771500714294639416e+06 2.045048390445016651e+01
7.635524864808758139e+00 3.054626377375651151e+07 1.081138674662287485e+04 1.395647358468398917e+06 4.371243504847037606e+06 1.694190670173005201e+06 1.470728669210829599e-02 9.058615480333231390e+05 5.137802663843510672e+06 1.754180823668988864e+01
8.012138550391478375e+00 2.686247080958953500e+07 1.071682333158417350e+04 1.434990214145517442e+06 3.793643122657373082e+06 1.540329020985316020e+06 1.236951034119123521e-02 7.368325384534737095e+05 4.577995314256523736e+06 1.500924869908553028e+01
